DCP,Núm. y Nombre del BI,Técnica,Nombre del guion de prueba,Pre Condiciones,Datos de Entrada,Pasos,Puntos de Verificación (PV),Fecha de Prueba,Puntaje,Prioridad,Justificación
CP-PED-014,Descuentos,Partición de Equivalencia,Aplicar descuento a producto,"Usuario autenticado","Producto: Precio=100, Descuento=10%","1. Agregar producto, 2. Aplicar descuento 10%, 3. Verificar cálculo","PV1: Precio original 100, PV2: Descuento aplicado=10, PV3: Precio final=90, PV4: IGV sobre precio con descuento",29/10/2025,90,CRÍTICA,Criticidad 30 + Frecuencia 20 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 4. Descuentos afectan facturación.
CP-PED-016,Validación Cantidad,Valores Límite,Ingresar cantidad negativa,"Usuario autenticado","Cantidad: -5","1. Ingresar cantidad -5, 2. Intentar agregar producto","PV1: Error: 'Cantidad debe ser mayor a 0', PV2: Campo marcado inválido, PV3: No permite agregar",29/10/2025,80,ALTA,Criticidad 30 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 4. Validación básica de entrada.
CP-PED-018,Validación Descuento,Valores Límite,Ingresar descuento mayor a 100%,"Usuario autenticado","Descuento: 150%","1. Ingresar descuento 150%, 2. Intentar aplicar","PV1: Error: 'Descuento no puede ser mayor a 100%', PV2: No aplica descuento, PV3: Validación frontend",29/10/2025,80,ALTA,Criticidad 30 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 4. Previene descuentos inválidos.
CP-PED-021,Múltiples Productos,Partición de Equivalencia,Agregar múltiples productos al pedido,"Usuario autenticado","3 productos diferentes con stock","1. Agregar Producto A (precio 100), 2. Agregar Producto B (precio 50), 3. Agregar Producto C (precio 75), 4. Verificar totales","PV1: 3 productos en grilla, PV2: Subtotal=225, PV3: IGV=40.5, PV4: Total=265.5",29/10/2025,90,CRÍTICA,Criticidad 30 + Frecuencia 20 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 4. Escenario común de pedidos.
CP-PED-026,Editar Pedido,Partición de Equivalencia,Editar pedido en estado Pendiente,"Usuario autenticado, Pedido Pendiente de Jorge Flores","Pedido de Jorge Luis Flores Sánchez (DNI: 58471629), Cambiar cantidad de producto de 5 a 10","1. Filtrar pedidos de Jorge Flores, 2. Seleccionar pedido Pendiente, 3. Clic Editar, 4. Modificar cantidad de 5 a 10, 5. Guardar","PV1: Cambios guardados correctamente, PV2: Cantidad actualizada a 10, PV3: Subtotal/IGV/Total recalculados, PV4: Estado sigue Pendiente, PV5: Cliente sigue siendo Jorge Flores",29/10/2025,90,CRÍTICA,Criticidad 30 + Frecuencia 20 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 4. Flujo de corrección frecuente.
CP-PED-027,Validación Estado,Partición de Equivalencia,Intentar editar pedido confirmado,"Usuario autenticado, Pedido Confirmado de Ana Rodríguez","Pedido de Ana Patricia Rodríguez Torres (DNI: 81247593) en estado Confirmado","1. Filtrar pedidos de Ana Rodríguez, 2. Seleccionar pedido Confirmado, 3. Intentar editar","PV1: Botón Editar deshabilitado o genera error, PV2: Mensaje: 'No se puede editar pedido confirmado', PV3: Pedido sin cambios, PV4: Cliente: Ana Rodríguez visible",29/10/2025,85,CRÍTICA,Criticidad 30 + Frecuencia 15 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 4. Regla de negocio crítica.
CP-PED-031,Invalidar Pedido,Partición de Equivalencia,Invalidar pedido pendiente con motivo,"Usuario autenticado, Pedido Pendiente de Carlos Mendoza","Pedido de Carlos Alberto Mendoza Quiroz (DNI: 72854193), Motivo: 'Cliente canceló el pedido'","1. Filtrar pedidos de Carlos Mendoza, 2. Seleccionar pedido Pendiente, 3. Clic Invalidar, 4. Ingresar motivo: 'Cliente canceló el pedido', 5. Confirmar","PV1: Estado cambia a Invalidado, PV2: Motivo guardado correctamente, PV3: Stock NO se descuenta, PV4: Auditoría registrada con usuario y fecha, PV5: Cliente: Carlos Mendoza visible",29/10/2025,85,CRÍTICA,Criticidad 30 + Frecuencia 15 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 4. Proceso de cancelación importante.
CP-PED-032,Validación Estado,Partición de Equivalencia,Intentar invalidar pedido confirmado,"Usuario autenticado, Pedido Confirmado de Rosa Villarreal","Pedido de Rosa Beatriz Villarreal Campos (DNI: 47829156) ya convertido a venta","1. Filtrar pedidos de Rosa Villarreal, 2. Seleccionar pedido Confirmado, 3. Intentar invalidar","PV1: Error: 'No se puede invalidar pedido confirmado', PV2: Botón Invalidar deshabilitado, PV3: Sugiere anular venta en módulo correspondiente",29/10/2025,80,ALTA,Criticidad 30 + Frecuencia 10 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 4. Previene inconsistencias.
CP-PED-034,Confirmar Pedido,Partición de Equivalencia,Confirmar pedido y convertir a venta,"Usuario autenticado, Pedido Pendiente de Jorge Flores con stock suficiente","Pedido de Jorge Luis Flores Sánchez (DNI: 58471629) con productos stock>=10","1. Filtrar pedidos de Jorge Flores, 2. Seleccionar pedido Pendiente, 3. Clic Confirmar, 4. Confirmar acción","PV1: Estado cambia a Confirmado, PV2: Venta generada en módulo Ventas, PV3: Stock descontado correctamente, PV4: Comprobante generado, PV5: Cliente en venta: Jorge Flores",29/10/2025,95,CRÍTICA,Criticidad 30 + Frecuencia 20 + Viabilidad 20 + ROI 15 + Estabilidad 10 + Detección 5. Conversión principal a venta.
CP-PED-039,Buscar,Partición de Equivalencia,Buscar pedido por código,"Usuario autenticado, Pedido PED-2025-001 existe","Código: PED-2025-001","1. Ingresar código en búsqueda, 2. Ejecutar búsqueda","PV1: Encuentra pedido exacto, PV2: Muestra detalle, PV3: Tiempo respuesta < 2 seg",29/10/2025,85,ALTA,Criticidad 20 + Frecuencia 20 + Viabilidad 20 + ROI 15 + Estabilidad 10 + Detección 3. Búsqueda rápida frecuente.
CP-PED-045,Paginación,Partición de Equivalencia,Navegar a segunda página de resultados,"Usuario autenticado, Más de 20 pedidos","Listado con 50 pedidos, página tamaño=20","1. Consultar pedidos, 2. Ver primera página, 3. Clic en página 2","PV1: Muestra registros 21-40, PV2: Paginador activo en página 2, PV3: Totales consistentes",29/10/2025,70,MEDIA,Criticidad 15 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 3. Usabilidad importante.
CP-PED-046,Paginación,Partición de Equivalencia,Cambiar tamaño de página a 50 registros,"Usuario autenticado, 100 pedidos en BD","Cambiar de 20 a 50 registros por página","1. Cambiar selector a 50, 2. Verificar resultados","PV1: Muestra 50 registros, PV2: Paginación ajustada a 2 páginas, PV3: Performance adecuada",29/10/2025,70,MEDIA,Criticidad 15 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 3. Mejora productividad.
CP-PED-048,Exportar,Partición de Equivalencia,Exportar con 0 registros en resultado,"Usuario autenticado","Filtro sin resultados","1. Aplicar filtro que no devuelve datos, 2. Intentar exportar","PV1: Mensaje: 'No hay datos para exportar', PV2: No genera archivo, PV3: Usuario informado",29/10/2025,70,MEDIA,Criticidad 15 + Frecuencia 15 + Viabilidad 15 + ROI 12 + Estabilidad 10 + Detección 3. Validación de exportación.
CP-PED-084,Exportar,Valores Límite,Exportar con 0 registros,"Usuario autenticado, Filtros sin resultados","Fecha rango vacío","1. Aplicar filtro sin resultados, 2. Intentar exportar","PV1: Mensaje: 'No hay datos para exportar', PV2: No genera archivo vacío, PV3: Sin errores",29/10/2025,70,MEDIA,Criticidad 15 + Frecuencia 15 + Viabilidad 15 + ROI 12 + Estabilidad 10 + Detección 3. Caso límite de exportación.
CP-PED-093,Cálculos,Valores Límite,Verificar redondeo en cálculo de IGV,"Usuario autenticado","Producto: PrecioUnit=10.33, Cantidad=3, IGV=18%","1. Agregar producto precio decimal, 2. Verificar cálculo IGV","PV1: Subtotal=30.99, PV2: IGV=5.5782 redondeado a 5.58, PV3: Total=36.57, PV4: Precisión 2 decimales",29/10/2025,85,CRÍTICA,Criticidad 30 + Frecuencia 20 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 5. Redondeo crítico en facturación.
CP-PED-095,Cálculos,Tablas de Decisión,Calcular con producto gravado y no gravado mixtos,"Usuario autenticado","Producto1: 100 gravado, Producto2: 50 no gravado","1. Agregar producto gravado, 2. Agregar no gravado, 3. Verificar cálculos","PV1: IGV solo sobre gravados, PV2: Subtotal=150, PV3: IGV=18 (solo P1), PV4: Total=168",29/10/2025,85,CRÍTICA,Criticidad 30 + Frecuencia 15 + Viabilidad 20 + ROI 12 + Estabilidad 10 + Detección 4. Escenario real frecuente.
CP-PED-101,Validación Frontend,Partición de Equivalencia,Validar campo Cliente como requerido,"Usuario autenticado, Modal Nuevo Pedido abierto","Dejar campo Tipo Documento y N° Documento vacío","1. Abrir modal Nuevo Pedido, 2. Agregar productos sin seleccionar cliente, 3. Intentar Guardar","PV1: Error: 'Cliente es obligatorio' o 'Tipo Documento es obligatorio', PV2: Borde campo en rojo, PV3: No permite guardar, PV4: Focus en campo faltante",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 4. Validación esencial.
CP-PED-102,Validación Frontend,Partición de Equivalencia,Validar al menos un producto requerido,"Usuario autenticado","Cliente seleccionado, sin productos","1. Seleccionar cliente, 2. No agregar productos, 3. Intentar guardar","PV1: Error: 'Debe agregar al menos un producto', PV2: No guarda pedido, PV3: Mensaje visible",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 4. Lógica de negocio básica.
CP-PED-103,Validación Frontend,Valores Límite,Validar cantidad mínima de producto = 1,"Usuario autenticado","Cantidad: 0","1. Agregar producto, 2. Ingresar cantidad 0, 3. Intentar continuar","PV1: Error: 'Cantidad debe ser mayor a 0', PV2: Campo marcado inválido, PV3: No permite agregar producto",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 4. Previene cantidad inválida.
CP-PED-104,Validación Frontend,Valores Límite,Validar descuento máximo no mayor a 100%,"Usuario autenticado","Descuento: 101%","1. Agregar producto, 2. Ingresar descuento 101%, 3. Salir del campo","PV1: Error: 'Descuento no puede ser mayor a 100%', PV2: Campo inválido, PV3: No permite continuar",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 4. Validación de límite superior.
CP-PED-105,Validación Frontend,Valores Límite,Validar precio unitario mayor a 0,"Usuario autenticado","Precio modificado a 0","1. Agregar producto, 2. Cambiar precio a 0, 3. Intentar agregar","PV1: Advertencia o error según regla negocio, PV2: Validación coherente",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 15 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 4. Precio mínimo válido.
CP-PED-106,Buscar y Filtrar,Partición de Equivalencia,Buscar por código de pedido exacto,"Usuario autenticado, Pedido PED-2025-001 existe","Buscar: 'PED-2025-001'","1. Ingresar código exacto en búsqueda, 2. Ejecutar búsqueda","PV1: Encuentra pedido exacto, PV2: Solo 1 resultado, PV3: Datos correctos, PV4: Tiempo < 2 seg",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 20 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 3. Búsqueda directa frecuente.
CP-PED-107,Buscar y Filtrar,Partición de Equivalencia,Buscar por nombre de cliente parcial,"Usuario autenticado, Clientes: María Quispe y Rosa Villarreal","Buscar: 'María' en filtro de clientes","1. Escribir 'María' en búsqueda de clientes, 2. Buscar","PV1: Muestra todos los pedidos de clientes con 'María' (María Elena Quispe Huamán), PV2: Búsqueda case-insensitive, PV3: Incluye María/maria/MARÍA",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 20 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 3. Búsqueda flexible útil.
CP-PED-108,Buscar y Filtrar,Partición de Equivalencia,Buscar por apellido de cliente,"Usuario autenticado, Cliente Jorge Flores Sánchez DNI 58471629","Buscar: 'Flores' en filtro de clientes","1. Ingresar 'Flores' en búsqueda, 2. Ejecutar","PV1: Encuentra pedidos del cliente Jorge Luis Flores Sánchez, PV2: Búsqueda por apellido funciona, PV3: Múltiples pedidos si existen",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 20 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 3. Búsqueda por identificador.
CP-PED-109,Buscar y Filtrar,Partición de Equivalencia,Buscar por DNI de cliente,"Usuario autenticado, Cliente Ana Rodríguez DNI 81247593","Buscar: '81247593'","1. Buscar por DNI 81247593, 2. Ver resultados","PV1: Encuentra pedidos del cliente Ana Patricia Rodríguez Torres, PV2: DNI correcto en resultados, PV3: Búsqueda exacta funciona",29/10/2025,75,ALTA,Criticidad 20 + Frecuencia 20 + Viabilidad 20 + ROI 10 + Estabilidad 10 + Detección 3. Búsqueda por documento.
